strategy,asset,target_utc,block,block_hash,block_utc,status,start_quantity,end_quantity,end_usd,net_return_fraction,versus_hold_usd,gas_usd,accounting_usd,route,note
curve-eth-steth-gauge,CRV,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,1868.0817199810281463,2933.47628266775425517,7073.240982422044134290027130913145572,-0.2926759017577955865709972869086854428,2568.894975483552287194229376911864492,758.46815872426316156214118963507,,"[""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> CRV (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""wrap ETH"", ""approval"", ""WETH -> CRV (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas
curve-eth-steth-gauge,CRV,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,1868.0817199810281463,3163.10288191118349511,8316.38401787717310160375297208433459,-0.168361598212282689839624702791566541,3404.85077342200641319218091514347989,559.6980633367973323791035977975542,,"[""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> CRV (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""wrap ETH"", ""approval"", ""WETH -> CRV (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",
curve-crv-cvxcrv-v2-lp,USD,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-lp,USD,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-lp,USD,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-lp,BTC,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-lp,BTC,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-lp,BTC,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-lp,ETH,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-lp,ETH,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
